"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RBM3",414.989743589743,1275.60465116279,2.0113613818312,0.0507923693127474,0.169893980012096,-4.15688285690268
"SIRT3",-120.142820512821,283.425581395349,-2.01130356082176,0.0507987215540749,0.169893980012096,-4.15691702885952
"PLAU",459.570769230769,727.4,2.01084351578998,0.0508492868742266,0.170034298421792,-4.15718888885285
"LPCAT3",22.8245128205128,45.7202325581395,2.01042069659243,0.0508957990786713,0.170145819935369,-4.1574387120533
"WDR70",51.4446153846153,161.406976744186,2.01038371893393,0.0508998685593275,0.170145819935369,-4.15746055859171
"TPSAB1",-3.30348717948718,11.7613953488372,-2.0098774839043,0.0509556093494253,0.170289843765294,-4.15775961577747
"CDS1",42.1161538461539,95.8372093023256,2.00983581931344,0.0509601993342898,0.170289843765294,-4.15778422668506
"SLC9A10",-6.27120512820513,9.62627906976744,-2.00934866404277,0.0510138934840954,0.170430015761907,-4.15807195844944
"PIK3CA",275.197435897436,711.767441860465,2.00929867350239,0.051019406207119,0.170430015761907,-4.15810148192553
"BMP8B",23.4964358974359,41.8020930232558,2.00893910200534,0.0510590733034901,0.170489724761899,-4.15831382291781
"OXCT1",185.410256410257,261.679069767442,2.00888243122227,0.0510653275338338,0.170489724761899,-4.15834728679147
"PDCD7",410.058974358974,1211.39534883721,2.00884753543195,0.0510691789902266,0.170489724761899,-4.15836789228816
"CENPV",4.36479487179487,7.25674418604651,2.00878220037833,0.0510763907128359,0.170489724761899,-4.15840647108626
"LOC643905",-4.23692307692309,25.9209302325581,-2.00874547698378,0.0510804446511801,0.170489724761899,-4.15842815499218
"MGC11082",15.513,33.333023255814,2.00854410759109,0.0511026790162425,0.170535114547444,-4.15854705176936
"ENTPD7",16.2778717948718,28.3451162790698,2.008456633053,0.0511123402043106,0.170538538046111,-4.15859869772918
"PCDH9",2.01794871794872,4.62325581395349,2.00824540034161,0.0511356764866767,0.170568034224862,-4.15872340540616
"UBE2L6",32.0310256410256,75.1395348837209,2.00815820113489,0.0511453126583162,0.170568034224862,-4.15877488343258
"TNN",-25.3791794871795,30.9674418604651,-2.00814211088192,0.0511470909250915,0.170568034224862,-4.15878438213721
"C6orf168",32.7661538461538,66.4039534883721,2.007829524964,0.0511816480223391,0.170654460035991,-4.15896890320394
"HPDL",19.6528205128205,39.9651162790698,2.00769304300343,0.0511967427710981,0.170662881525372,-4.15904946287575
"ZNF229",3.23648717948718,6.47186046511628,2.00765042616015,0.0512014569364439,0.170662881525372,-4.15907461705241
"DDI2",-25.2007948717949,38.976511627907,-2.00662840317999,0.0513146233434483,0.171005034165687,-4.15967774378872
"CENPH",23.0597692307692,43.4574418604651,2.00652807323622,0.0513257443488158,0.171005034165687,-4.15973693989746
"CUL7",27.9628205128205,63.0627906976744,2.006488921268,0.0513300846895636,0.171005034165687,-4.15976003955718
"DHFR",126.84358974359,307.318604651163,2.00604375569348,0.0513794576116196,0.171140649076046,-4.16002266495054
"MTSS1",108.392564102564,151.353488372093,2.00593680603852,0.05139132543888,0.171151313000412,-4.16008575378839
"HLA.DRA",777.067179487179,935.986046511628,2.00538008682524,0.0514531410225356,0.171328288999166,-4.16041412028767
"HSPC159",233.146923076923,429.043720930233,2.00494783876878,0.0515011803548335,0.171455989431766,-4.16066902648519
"TUBG2",-57.9174358974358,201.823255813953,-2.00487881268413,0.0515088554002058,0.171455989431766,-4.16070972910955
"EMID2",-7.27766666666668,29.4225581395349,-2.0047380673357,0.0515245080203371,0.171472959365139,-4.16079271939254
"CDKL2",-36.464717948718,42.7848837209302,-2.00458162325489,0.051541911374052,0.171472959365139,-4.16088496160109
"ZNF558",57.7371794871796,167.627906976744,2.00456997914077,0.0515432069073878,0.171472959365139,-4.16089182697515
