"","TNBC_1","TNBC_2","TNBC_3","TNBC_4","TNBC_5","TNBC_6","TNBC_7","TNBC_8","TNBC_9","TNBC_10","TNBC_11","TNBC_12","TNBC_13","TNBC_14","TNBC_15","TNBC_16","TNBC_17","TNBC_18","TNBC_19","TNBC_20","TNBC_21","TNBC_22","TNBC_23","TNBC_24","TNBC_25","TNBC_26","TNBC_27","TNBC_28","TNBC_29","TNBC_30","Normal_31","Normal_32","Normal_33","Normal_34","Normal_35","Normal_36","Normal_37","Normal_38","Normal_39","Normal_40","Normal_41","Normal_42","Normal_43"
"CDK2AP1",0.822884541265229,-0.305714559152621,0.0307621912825145,-0.375813882159941,-0.375813882159941,0.633616369145465,0.857934202768889,-0.768370091000932,1.78324526646551,0.12189131119203,0.241060160304474,1.11730169789597,1.83932472487137,-0.775380023301664,0.374248874018382,-0.86650914321118,2.73659605936506,1.90942404787869,0.00272246207958653,-0.0463470640255374,0.241060160304474,0.991122916482797,2.11972201690065,0.388268738619846,-0.544052257377509,-0.950628330819964,0.248070092605206,-0.62116151268556,-0.403853611362869,0.787834879761569,-0.824449549406788,-0.712290632595076,-1.10274386174585,-0.950628330819964,-1.10064088205563,-0.929598533917768,-0.375813882159941,-0.824449549406788,-0.733320429497272,-1.30462991200693,-1.07750810546321,-0.929598533917768,-0.347774152957013
"CALM2",-0.703837265666111,0.539342720574173,-0.0914333315575968,0.63120331069045,-0.164921803650618,-1.13864405888316,-0.367015101906428,0.0249234159230209,0.245388832202086,-0.189417961014959,0.0555436126284466,0.435234051775725,0.569962917279598,-0.520116085433557,0.367869619023789,-0.434379534658365,1.75190251010903,1.05988606456641,1.32934379557416,0.282133068248597,0.184148438791235,0.539342720574173,2.27856989344235,2.67663245061289,-0.746705541053707,0.312753264954023,-1.19376041295292,-0.550736282138982,-0.507868006751386,2.71950072600048,-0.65484495093743,-0.783449777100218,-1.34686139648005,-1.13252001954207,-1.04678346876688,-0.501743967410301,0.0249234159230209,-0.360891062565343,-1.03453539008471,-1.21213253097618,-1.00391519337928,-0.45275165268162,0.110659966698213
"SEC61G",0.306700999058552,0.0586072206121789,-0.228659259694148,0.0455496533255276,-0.339648581630684,-0.656947466696308,-0.500909537620826,0.398103970065111,0.0716647878988301,-0.267831961554102,1.338248814704,-0.287418312484079,1.69733191508691,0.424219104638413,1.39700786749393,-0.19601534147752,3.56456403707803,2.63094797608247,-0.43562170118757,-0.209072908764171,0.0520784369688532,-0.287418312484079,2.27186487569956,0.424219104638413,-0.19601534147752,-0.447373511745556,-0.248245610624125,-0.124198721400938,-0.56815600914708,-0.307004663414056,-0.793399044841814,-0.854769611089075,-0.893942312949028,-0.706566222385583,-0.882843380755375,-0.762060883353851,0.0977799224721325,-0.86390990818973,-0.899818218228021,-0.919404569157998,-0.903082610049684,-0.750309072795865,-0.248245610624125
"SPINT2",0.0916461889201148,-0.0181789981300556,-0.192607236386209,1.6227385025019,-1.08412934302877,-0.78049500236065,3.59313156428437,1.46769117960754,2.15248352239096,0.414661444950028,-0.399337000245353,-0.199067541506807,0.47926449615601,1.22865989014541,-0.166766015903816,0.246693511814473,0.92502554947729,0.5180263268796,-0.741733171637061,-0.987224766219794,1.78424613051686,0.0528843581965252,0.350058393744045,-0.0763217442154399,0.614930903688574,-0.715891951154668,-0.541463712898515,0.343598088623447,-1.25209727616432,0.188550765729089,-0.683590425551676,-0.644828594828087,-1.12289117375236,-0.48332096681313,-0.67066981531048,-0.560844628260309,-0.244289677350995,-0.48332096681313,-0.599606458983899,-0.967843850858,-0.774034697240052,-0.735272866516462,-0.948462935496205
"HSP90B1",-0.571136170397202,1.34214330351053,0.515606570782392,0.446728509721713,-0.578789288292833,-0.823689060953024,1.79367725935276,1.28857147824112,-0.257358336676334,-0.219092747198179,-0.785423471474869,0.561525278156177,1.61000242985762,0.385503566556666,-0.624707995666619,0.408462920243558,2.68143893524595,2.36766110152508,-0.180827157720024,0.163563147583368,-0.127255332450608,0.699281400277534,0.278359916017832,0.201828737061523,0.752853225546951,-1.05328259782195,-1.09154818730011,0.706934518173165,-0.693586056727297,1.16612159191102,-0.754810999892345,-0.640014231457881,-0.999710772552535,-0.563483052501571,-1.06858883361321,-0.785423471474869,-0.594095524084095,-1.16042624836079,-0.984404536761273,-1.25226366310836,-1.27522301679525,-0.655320467249143,0.370197330765404
"ATP1B3",0.633349292814519,-0.553935692449802,0.204394717493216,-0.42295134891419,1.76701495616368,-0.2475395672203,-0.559297624641319,0.18907491123174,0.143115492447315,-0.334096472597634,-0.54933975057136,1.73637534364073,0.755907742906319,1.76701495616368,-0.54933975057136,-0.163280632782187,1.39933960588827,0.541430455245668,-0.658876365340907,-0.365502075433658,0.288653651931329,1.8129743749481,-0.209240051566612,3.48283325744889,-0.430611252044928,-0.399205649208904,0.181415008101003,-0.514104196169967,1.57551737789524,-0.155620729651449,-0.806712495764142,-0.856501866113936,-0.86952370143619,-0.950718674622008,-0.839650079226313,-0.884843507697665,-0.805180515137994,-0.835820127660944,-0.71862360976066,-0.853437904861641,-0.857267856427009,-0.774540902615044,-0.312648743831569
"GGCT",1.26224176362238,0.549676518094536,-0.363611331807345,0.840724294436893,0.459351346126218,-1.17553426650033,-0.913591267792213,1.53321727952733,0.288737132408284,0.921013336186509,1.73393988390137,0.539640387875834,-0.223105508745517,1.03141076859223,1.65365084215175,-0.0725635554649872,0.0177616165033306,-0.453936503775663,0.800579773562085,-0.584406196618788,0.810615903780787,0.579784908750642,0.0779783978155425,1.32245854493459,0.579784908750642,-0.924631011032786,0.258628741752178,2.19560187396166,0.348953913720496,0.46938747634492,-1.18456678369717,-1.17352704045659,-1.40536164850861,-0.971800823060685,-1.32206176769338,-1.09223438568511,0.00772548628462867,-1.09725245079446,-1.27288472962174,-1.42041584383666,-1.09123077266324,-1.07617657733519,-0.463972633994365
"SOD1",-0.414632084953911,1.44145330439167,0.948290519782943,0.392361562587647,-0.217366971110419,-1.3166716509837,-0.513264641875657,0.571693484263549,-0.647763583132583,-0.791229120473305,0.302695601749696,1.42352011222408,1.16348882579403,0.060597507487229,0.293729005665901,-0.0111352611831317,1.85391672424625,0.867591155028787,0.473060927341803,0.13233027615759,2.32914631668739,1.40558692005649,1.28902117096716,-1.02436061865198,1.62975182215137,0.464094331258008,-0.764329332221919,-0.441531873205296,-0.32496612411596,1.16348882579403,-1.1328564312659,-0.925728061730231,-1.31577499137532,-1.10864662183965,-0.970561042149206,-0.988494234316797,-0.459465065372886,-0.916761465646436,-1.09609338732234,-1.03332721473577,-0.988494234316797,-0.862961889143665,0.060597507487229
"OAZ1",-0.0996430147814082,0.32809696576078,-0.280888769248437,0.560091531478576,-0.186640976925582,-0.454884693536785,0.110602060400345,2.51754567972249,0.0888525698643017,-0.723128410147987,0.792086097196373,-1.02037144747391,1.0893291345223,0.168600701829794,0.864584398983185,1.53881860560053,1.32857353041878,0.639839663444069,-0.694129089433263,0.400595267547591,1.34307319077614,-0.976872466401827,-0.295388429605799,0.0743529095069394,1.56056809613658,-0.984122296580509,-1.04212093800996,0.110602060400345,-0.346137240856567,2.82928837740578,-0.730378240326668,-0.607131127289089,-1.32486431497852,-0.723128410147987,-1.12911890015413,-0.0778935242453647,0.596340682371982,-0.556382316038321,-1.15811822086886,-1.13636873033281,-1.02037144747391,-1.09286974926073,-0.280888769248437
"C15orf21",0.256692503831509,0.0562971213922408,1.28271686192056,-1.1380593579458,-0.232272229320305,0.585340931031909,-0.825442561340539,1.47509642906226,1.84382393275051,-0.464730872949856,-0.112034999856744,0.200581796748514,0.93002098882745,-1.17813843443365,0.0883603825825237,0.537246039246484,0.889941912339596,0.336850656807216,-0.216240598725164,-0.6170313636037,3.27865487101567,0.0643129366898115,0.144471089665519,1.65144436560882,-0.160129891642169,-0.544889025925564,-0.448699242354715,-1.0017904978871,-0.560920656520705,2.39691518828289,-0.6170313636037,-0.00782940098832501,-1.16210680383851,-0.969727236696812,-0.50480994943771,-1.12202772735066,-0.681157885984266,-0.192193152832452,-0.248303859915447,-0.969727236696812,-0.625047178901271,-0.785363484852685,-0.633062994198842
