"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","26/2489","52/18860",0.5,3.78867014865408,7.85166362949863,1.82844287945787e-10,2.30269525131725e-08,2.00807937287829e-08,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/4342/5885/10403/26271/51143/55055/7175/348654/7756/991/3619",26
"GO:1905819","GO:1905819","negative regulation of chromosome separation","26/2489","52/18860",0.5,3.78867014865408,7.85166362949863,1.82844287945787e-10,2.30269525131725e-08,2.00807937287829e-08,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/4342/5885/10403/26271/51143/55055/7175/348654/7756/991/3619",26
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","91/2489","357/18860",0.254901960784314,1.93147889931384,6.92819701801482,2.29176856553164e-10,2.82729407727321e-08,2.46555896373414e-08,"54443/11065/1869/898/891/7272/701/60/699/6241/23560/51270/63967/1063/8556/11130/5310/4085/2146/1062/55143/580/332/1111/596/990/9319/57405/51514/1642/8317/83540/51433/9928/5933/5347/641/51529/6790/147841/1019/86/9088/10459/6240/29980/993/1029/7027/5885/1981/545/79858/10403/29945/1032/26271/6597/9787/3398/51143/9134/286053/1031/5977/55920/55159/5591/51499/8451/51692/91607/5311/5721/5515/55055/81853/10361/29117/7175/348654/6601/7756/991/301/144455/3624/3619/5962/5728/1022",91
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","26/2489","53/18860",0.490566037735849,3.71718580622664,7.72381181781963,3.13922511023462e-10,3.79532315827366e-08,3.30973460043263e-08,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/4342/5885/10403/26271/51143/55055/7175/348654/7756/991/3619",26
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","25/2489","50/18860",0.5,3.78867014865408,7.69878030258768,4.09301859814405e-10,4.55057248088674e-08,3.9683543571078e-08,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/5885/10403/26271/51143/55055/7175/348654/7756/991/3619",25
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","25/2489","50/18860",0.5,3.78867014865408,7.69878030258768,4.09301859814405e-10,4.55057248088674e-08,3.9683543571078e-08,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/5885/10403/26271/51143/55055/7175/348654/7756/991/3619",25
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","25/2489","50/18860",0.5,3.78867014865408,7.69878030258768,4.09301859814405e-10,4.55057248088674e-08,3.9683543571078e-08,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/5885/10403/26271/51143/55055/7175/348654/7756/991/3619",25
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","25/2489","50/18860",0.5,3.78867014865408,7.69878030258768,4.09301859814405e-10,4.55057248088674e-08,3.9683543571078e-08,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/5885/10403/26271/51143/55055/7175/348654/7756/991/3619",25
"GO:0009060","GO:0009060","aerobic respiration","79/2489","297/18860",0.265993265993266,2.01552149322338,6.87824175409879,4.14030581387545e-10,4.55057248088674e-08,3.9683543571078e-08,"891/5166/5230/5160/1340/54539/7386/3939/2821/9377/7167/1347/3692/4700/1351/4694/538/2597/4712/50/4718/1346/1345/4706/4702/23788/5223/1349/4436/4708/4709/4704/5901/27089/4710/7388/4725/4719/3099/2023/2819/1329/6472/4715/7381/1738/3418/4722/26137/8050/4707/126328/6391/9167/4729/5163/205327/7415/2271/4720/5515/4728/51422/9650/51079/4695/4726/48/27069/23530/1327/1350/3091/1291/84275/55967/51142/3607/54541",79
"GO:0051054","GO:0051054","positive regulation of DNA metabolic process","76/2489","283/18860",0.268551236749117,2.03490410811102,6.83974187873782,5.51394352770068e-10,5.95210511159833e-08,5.19056939600095e-08,"60/3297/8550/890/6950/7336/10635/8914/58525/51377/3181/8317/5111/142/1660/63922/10097/118460/5984/4436/4751/7203/3320/86/51010/10576/10459/5073/993/83933/79733/7398/11124/545/7422/908/4931/6597/6502/5985/10575/29844/5977/10574/1054/5591/9643/7037/170506/1387/1763/6944/2271/8089/1736/50507/5514/11177/165918/10361/29117/2521/27101/150275/6601/140609/6778/3184/5609/93973/144455/7528/11284/55183/8467/81620",76
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","42/2489","119/18860",0.352941176470588,2.67435539904994,7.14428747487112,6.77978081782702e-10,7.19013597259023e-08,6.2702017240402e-08,"1908/51203/11065/891/7272/701/699/1063/11130/4085/55143/332/1111/9319/57405/83540/51433/5347/51529/6790/147841/4751/9088/10459/1613/5885/23636/10403/26271/9787/51143/286053/157313/1104/55055/7175/348654/4288/7756/991/998/3619",42
"GO:0006457","GO:0006457","protein folding","65/2489","228/18860",0.285087719298246,2.16020666370627,6.87238079592764,6.92224031916526e-10,7.21464529816448e-08,6.29157523019594e-08,"3336/3329/3312/6950/10598/51364/134266/8872/57003/10471/5202/5034/81611/811/8570/51726/7203/5478/3320/10576/7184/6905/7411/79087/6902/9131/9141/653505/5480/2280/8468/131474/3301/27000/908/81567/10575/79031/51645/10574/7248/6782/3313/79608/26973/2923/5203/1155/10954/23753/3315/11140/51100/3308/10961/9601/80273/25764/5479/10130/55466/6625/3338/10294/7266",65
"GO:0006163","GO:0006163","purine nucleotide metabolic process","107/2489","454/18860",0.23568281938326,1.78584892469598,6.60878243895328,8.49284104885051e-10,8.7015634136104e-08,7.58825119940113e-08,"26289/8833/55669/2987/6120/5230/9563/23498/3312/2773/54539/3939/2821/7167/3692/10380/4700/4694/4621/6888/538/2597/5471/4712/4718/3251/63979/5631/142/4706/525/4702/23788/10606/5223/527/4830/4708/4709/79751/4704/2618/5901/4710/4725/353/4719/3099/9540/2023/2819/113/4715/22934/3418/9414/4722/26137/32/4707/126328/6391/11164/4729/10059/51071/7415/5143/8505/9497/471/29789/4720/5515/6820/4728/51422/10165/51079/4695/4726/5744/48/23530/160428/1633/8382/523/109/4976/56848/11165/7086/3091/9567/221823/1291/477/51715/4522/2805/55967/3607/5604/4833/25939/54541",107
"GO:0051783","GO:0051783","regulation of nuclear division","48/2489","147/18860",0.326530612244898,2.47423356646797,6.9966061617809,8.843356965271e-10,8.90968214251054e-08,7.76974240036442e-08,"1908/51203/11065/891/7272/701/699/1063/11130/4085/10635/55143/332/1111/9319/57405/83540/51433/5347/51529/6790/811/147841/4751/9088/10459/1613/4342/5885/23636/10403/26271/9787/51143/286053/157313/1104/5810/55055/10361/7175/348654/4288/7756/991/998/3619/4488",48
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","114/2489","494/18860",0.230769230769231,1.7486169916865,6.57430788708934,8.9945044005645e-10,8.9134064100676e-08,7.77299017049646e-08,"1544/8864/891/5166/6120/5230/9563/3667/5160/1340/54539/7386/10063/3939/2821/9377/7167/1347/87178/3692/4700/1351/4694/6888/538/2597/51052/4712/50/4718/1346/1345/9852/4706/4702/23788/5223/1349/4436/4708/4709/4704/5507/5901/2932/27089/4710/37/7388/55276/4725/8445/4719/3099/2023/54677/2819/1329/6472/4715/7381/22934/1738/3418/4722/26137/32/8050/4707/126328/6391/9167/4729/5163/205327/3953/51071/7415/2931/2271/10580/4720/5515/155/4728/51422/9650/10165/51079/4695/4726/10954/2992/48/27069/23530/160428/5500/1327/5504/55847/1350/7086/3091/1291/7262/5467/2230/84275/55967/51142/3607/2673/54541",114
"GO:0034504","GO:0034504","protein localization to nucleus","87/2489","345/18860",0.252173913043478,1.91080755323423,6.65745879545273,1.01145055890923e-09,9.86164294936502e-08,8.59990560104829e-08,"6672/3838/2737/3192/90865/1072/1994/1434/7295/5587/1894/6950/4001/580/84897/84823/23435/1871/347/7534/142/5347/5241/811/3068/55746/7203/3320/10576/7529/5901/2932/1029/7704/9631/5295/9500/23636/144165/9972/10430/9688/23649/6396/55027/10762/10628/3840/908/4931/79902/10575/7752/51804/9538/57122/503542/7514/10574/51068/64121/7037/7545/7494/1387/3837/55122/3839/55705/23511/51208/1736/7341/5514/705/23212/3621/6612/7175/103/129401/11331/55035/1277/81788/51715/4000",87
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","76/2489","287/18860",0.264808362369338,2.00654307524537,6.69987127513097,1.10400610918311e-09,1.05932014762094e-07,9.2378656554537e-08,"26289/55669/2987/5230/3312/2773/54539/3939/2821/7167/3692/4700/4694/4621/538/2597/4712/4718/63979/142/4706/525/4702/23788/5223/527/4830/4708/4709/4704/5901/7298/4710/4725/4719/3099/2023/2819/79077/4715/4722/26137/9519/4707/126328/6391/11164/4729/10059/7415/8505/29789/4720/5515/4728/51422/10165/51079/4695/4726/8382/523/4976/56848/3091/9567/1291/477/51715/7371/55967/3607/5604/4833/25939/54541",76
"GO:0090068","GO:0090068","positive regulation of cell cycle process","74/2489","278/18860",0.266187050359712,2.01698986331224,6.66080881937845,1.42107726080723e-09,1.33392353828129e-07,1.16325611940494e-07,"1908/51203/8626/11065/898/891/29127/699/6241/10051/64151/3192/5902/8556/4085/81610/2146/1894/10635/55143/332/1111/58525/2237/11113/990/79677/51514/10615/8317/54892/51433/9928/51529/6790/1019/9493/6240/11200/993/79733/382/55968/6421/7027/5885/1981/23636/23397/10403/26271/9787/51143/9134/286053/10733/55920/9918/8451/51692/1778/5514/10361/7175/348654/23310/991/10592/301/144455/998/3619/5962/4488",74
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","56/2489","187/18860",0.299465240641711,2.26915003555752,6.80081396942087,1.4343263852487e-09,1.33392353828129e-07,1.16325611940494e-07,"1869/891/7272/701/699/5888/63967/1063/11130/4085/55143/580/8914/332/1111/990/9319/84444/57405/51514/83540/5781/5347/641/147841/4436/10459/54962/11200/29980/545/79858/261726/10403/2177/51143/55159/5591/1763/51499/79968/8451/5810/54888/5514/55055/165918/25896/7175/348654/146956/7756/991/3619/80198/81620",56
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","73/2489","274/18860",0.266423357664234,2.01878044417334,6.62364562907489,1.75647173067534e-09,1.60876842605037e-07,1.40293627228423e-07,"1869/891/7272/701/699/23560/5888/51270/63967/1063/11130/4085/2146/55143/580/8914/332/1111/596/990/9319/84444/57405/51514/83540/5781/5933/5347/641/147841/4436/323/9088/10459/54962/11200/29980/4342/5885/545/79858/261726/10403/1032/26271/2177/51143/55159/5591/1763/51499/79968/8451/91607/5810/54888/5311/5514/55055/165918/29117/25896/7175/348654/146956/7756/991/144455/3624/3619/80198/5728/81620",73
"GO:2001252","GO:2001252","positive regulation of chromosome organization","38/2489","105/18860",0.361904761904762,2.74227553616867,6.98050959206568,1.92889940410974e-09,1.7403278952005e-07,1.51766350601439e-07,"699/10051/8550/64151/6950/2237/51377/3181/54892/4751/7203/3320/86/10576/5073/6421/5885/545/23397/908/4931/10575/29844/286053/10574/170506/9918/1736/5514/7175/23310/140609/10592/3184/5609/93973/7528/11284",38
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","26/2489","57/18860",0.456140350877193,3.45633066193004,7.24177218741039,2.30701165176338e-09,2.02114281665357e-07,1.76254986301007e-07,"891/7272/701/699/3192/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/5885/10403/26271/51143/55055/7175/348654/7756/991/3619",26
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","26/2489","57/18860",0.456140350877193,3.45633066193004,7.24177218741039,2.30701165176338e-09,2.02114281665357e-07,1.76254986301007e-07,"891/7272/701/699/1063/11130/4085/55143/332/1111/9319/57405/83540/5347/147841/10459/5885/10403/26271/51143/55055/7175/348654/7756/991/3619",26
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","72/2489","271/18860",0.265682656826568,2.01316790186785,6.55046647838898,2.58048341369861e-09,2.22843174797258e-07,1.94331743395528e-07,"26289/55669/2987/5230/3312/2773/54539/3939/2821/7167/3692/4700/4694/4621/538/2597/4712/4718/63979/142/4706/525/4702/23788/5223/527/4830/4708/4709/4704/5901/4710/4725/4719/3099/2023/2819/4715/4722/26137/4707/126328/6391/11164/4729/10059/7415/8505/29789/4720/5515/4728/51422/10165/51079/4695/4726/8382/523/4976/56848/3091/9567/1291/477/51715/55967/3607/5604/4833/25939/54541",72
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","55/2489","185/18860",0.297297297297297,2.25272279109161,6.67643633444977,2.68272747761385e-09,2.28409684537686e-07,1.99186052007267e-07,"26289/8833/2987/54539/4700/4694/5471/4712/4718/3251/5631/142/4706/4702/10606/527/4830/4708/4709/4704/2618/4710/4725/353/4719/2023/113/4715/4722/4707/126328/6391/4729/7415/471/4720/4728/51422/10165/51079/4695/4726/1633/8382/109/56848/7372/221823/7371/4522/55967/55312/5604/51727/4833",55
"GO:0019693","GO:0019693","ribose phosphate metabolic process","94/2489","392/18860",0.239795918367347,1.81701527537491,6.37378560909199,3.56613128044492e-09,2.99406438754021e-07,2.61099202521464e-07,"26289/8833/55669/2987/5230/3312/2773/54539/3939/2821/7167/3692/10380/4700/4694/4621/538/2597/5471/4712/4718/3251/63979/5631/142/4706/525/4702/23788/10606/5223/527/4830/4708/4709/4704/2618/5901/4710/4725/353/4719/3099/2023/2819/113/4715/9414/4722/26137/4707/126328/6391/11164/4729/10059/7415/5143/8505/471/29789/4720/5515/6820/4728/51422/10165/51079/4695/4726/5744/1633/8382/523/109/4976/56848/7372/11165/3091/9567/221823/1291/477/51715/7371/4522/55967/3607/55312/5604/51727/4833/54541",94
"GO:0072594","GO:0072594","establishment of protein localization to organelle","109/2489","478/18860",0.228033472803347,1.72788722260793,6.28515275860122,4.2616048452196e-09,3.52895908073322e-07,3.07745018959766e-07,"3838/56993/10440/2737/3329/90865/51028/1072/1994/1434/3312/7332/51160/59286/5587/1894/6726/26521/6950/401505/7874/134266/23435/10890/1871/4137/56888/347/23788/100287932/55746/3320/7529/5901/5194/10075/1029/64083/10134/9131/9631/5295/83882/3099/140823/23636/144165/9972/9688/23649/6396/131474/55027/10762/3301/10628/3840/908/79902/23480/27113/9538/57122/503542/92609/58477/7545/7494/6653/6721/25813/3837/2931/55122/6731/3839/55705/10531/6730/8239/23511/222229/7251/100188893/7341/5514/10651/128866/22930/51079/3621/7175/1649/51100/3308/103/129401/60559/6720/11331/80273/6449/51715/4000/3916/5898/23471/26519/10952",109
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","70/2489","264/18860",0.265151515151515,2.00914326064989,6.43841836063725,4.68347576671894e-09,3.82589337970487e-07,3.33639354761429e-07,"26289/55669/5230/3312/2773/54539/3939/2821/7167/3692/4700/4694/4621/538/2597/4712/4718/63979/142/4706/525/4702/23788/5223/527/4830/4708/4709/4704/5901/4710/4725/4719/3099/2023/2819/4715/4722/26137/4707/126328/6391/11164/4729/10059/7415/8505/29789/4720/5515/4728/51422/10165/51079/4695/4726/8382/523/4976/56848/3091/9567/1291/477/51715/55967/3607/5604/4833/54541",70
"GO:0006302","GO:0006302","double-strand break repair","83/2489","334/18860",0.248502994011976,1.88299175052867,6.34853069884914,5.10532485491924e-09,4.0406306160157e-07,3.52365645814403e-07,"113130/60/8438/3297/5888/4171/4172/10213/4173/2547/9401/4176/7336/10635/80010/55775/8914/1111/2237/9319/79677/8317/63979/142/10097/5347/641/4175/29128/4436/86/3148/10459/11200/25788/6119/7516/3070/6421/5885/545/6597/6502/64710/10721/5422/2177/286053/5977/55159/10038/5591/9643/25842/1387/85456/1763/6944/7415/2271/8089/27336/51659/157570/708/165918/29117/2521/84515/151987/348654/7913/6601/146956/93973/7528/5965/64110/11284/4174/55183/80198/25939",83
"GO:0032200","GO:0032200","telomere organization","56/2489","193/18860",0.290155440414508,2.19860651113605,6.5260770600463,5.13170418824076e-09,4.0406306160157e-07,3.52365645814403e-07,"6672/898/5888/8550/3192/55505/2547/9401/6950/7874/2237/51377/3181/84444/79677/5111/142/641/3104/9156/3183/4751/7203/3320/86/10576/10459/5073/6119/545/908/4931/10575/29844/55226/9134/286053/10574/5591/170506/23381/85456/1763/1736/5514/80119/55651/140609/3184/5609/93973/7528/4000/11284/55183/80198",56
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","101/2489","434/18860",0.232718894009217,1.76339025352102,6.27350309384261,5.14687439922596e-09,4.0406306160157e-07,3.52365645814403e-07,"1544/8864/891/5166/5230/3667/5160/1340/54539/7386/3939/2821/9377/7167/1347/87178/3692/4700/1351/4694/538/2597/51052/4712/50/4718/1346/1345/9852/4706/4702/23788/5223/1349/4436/4708/4709/4704/5507/5901/2932/27089/4710/37/7388/55276/4725/8445/4719/3099/2023/2819/1329/6472/4715/7381/1738/3418/4722/26137/8050/4707/126328/6391/9167/4729/5163/205327/3953/7415/2931/2271/10580/4720/5515/155/4728/51422/9650/10165/51079/4695/4726/2992/48/27069/23530/5500/1327/5504/55847/1350/3091/1291/7262/84275/55967/51142/3607/2673/54541",101
"GO:0010948","GO:0010948","negative regulation of cell cycle process","80/2489","318/18860",0.251572327044025,1.90624913139828,6.35502186700307,5.31413522171266e-09,4.11845479682732e-07,3.59152350746788e-07,"1869/891/7272/701/699/23560/5888/51270/63967/1063/11130/4085/2146/55143/580/8914/332/1111/596/990/9319/84444/57405/51514/83540/5781/5933/5347/641/147841/4436/323/4751/9088/10459/54962/11200/29980/4342/9031/79733/5885/545/79858/261726/10403/1032/26271/100288687/2177/51143/55159/5591/1763/51499/79968/8451/91607/5810/54888/899/5311/5514/55055/165918/29117/25896/7175/348654/10467/146956/7756/991/144455/3624/3619/80198/8467/5728/81620",80
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","23/2489","48/18860",0.479166666666667,3.63080889246016,7.11584712295998,5.91676734437107e-09,4.36237845961778e-07,3.80423861839116e-07,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/10403/51143/55055/7175/348654/7756/991/3619",23
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","23/2489","48/18860",0.479166666666667,3.63080889246016,7.11584712295998,5.91676734437107e-09,4.36237845961778e-07,3.80423861839116e-07,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/10403/51143/55055/7175/348654/7756/991/3619",23
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","23/2489","48/18860",0.479166666666667,3.63080889246016,7.11584712295998,5.91676734437107e-09,4.36237845961778e-07,3.80423861839116e-07,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/10403/51143/55055/7175/348654/7756/991/3619",23
"GO:0051168","GO:0051168","nuclear export","52/2489","174/18860",0.298850574712644,2.26449250264382,6.5338157716827,5.91753571031692e-09,4.36237845961778e-07,3.80423861839116e-07,"6672/5310/1434/29107/9775/7295/5587/11260/580/3692/127933/3181/4686/56943/1660/5781/811/55746/5901/2932/1029/9631/202151/23636/9972/9688/10541/6741/79902/2810/9887/57122/7514/51068/3313/23381/22916/11052/80145/54888/23511/84321/91746/7175/55341/103/23214/3267/4116/55110/84248/57510",52
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","53/2489","179/18860",0.29608938547486,2.24357003216387,6.51824795928357,6.06387095521293e-09,4.4163975812364e-07,3.85134632133245e-07,"26289/8833/2987/54539/4700/4694/5471/4712/4718/3251/142/4706/4702/10606/527/4830/4708/4709/4704/2618/4710/4725/353/4719/2023/113/4715/4722/4707/126328/6391/4729/7415/471/4720/4728/51422/10165/51079/4695/4726/1633/8382/109/56848/7372/7371/4522/55967/55312/5604/51727/4833",53
"GO:0009259","GO:0009259","ribonucleotide metabolic process","92/2489","385/18860",0.238961038961039,1.8106891100061,6.26652324106328,6.27904965108682e-09,4.51867323104998e-07,3.94053642263694e-07,"26289/8833/55669/2987/5230/3312/2773/54539/3939/2821/7167/3692/10380/4700/4694/4621/538/2597/5471/4712/4718/3251/63979/142/4706/525/4702/23788/10606/5223/527/4830/4708/4709/4704/2618/5901/4710/4725/353/4719/3099/2023/2819/113/4715/9414/4722/26137/4707/126328/6391/11164/4729/10059/7415/5143/8505/471/29789/4720/5515/6820/4728/51422/10165/51079/4695/4726/5744/1633/8382/523/109/4976/56848/7372/11165/3091/9567/1291/477/51715/7371/4522/55967/3607/55312/5604/51727/4833/54541",92
"GO:0045333","GO:0045333","cellular respiration","83/2489","336/18860",0.24702380952381,1.87178346629934,6.28702308540222,6.86712848344362e-09,4.88374019793137e-07,4.25889528731711e-07,"1544/891/5166/5230/5160/1340/54539/7386/3939/2821/9377/7167/1347/87178/3692/4700/1351/4694/538/2597/4712/50/4718/1346/1345/4706/4702/23788/5223/1349/4436/4708/4709/4704/5901/27089/4710/7388/4725/4719/3099/2023/2819/1329/6472/4715/7381/1738/3418/4722/26137/8050/4707/126328/6391/9167/4729/5163/205327/7415/2271/4720/5515/4728/51422/9650/10165/51079/4695/4726/48/27069/23530/1327/55847/1350/3091/1291/84275/55967/51142/3607/54541",83
"GO:0051236","GO:0051236","establishment of RNA localization","51/2489","170/18860",0.3,2.27320208919245,6.5020653015703,7.15623912391971e-09,5.03017040745287e-07,4.38659064046388e-07,"3800/3297/29107/9775/11260/87178/3181/4686/56943/1660/8570/29074/55746/9793/5901/7884/9631/23636/545/9972/9688/6396/10762/6741/79902/9887/4904/57122/7514/23381/8087/22916/11052/23165/3837/80145/54888/23511/84321/7048/91746/7175/129401/54847/3267/4116/55110/81929/84248/57510/1069",51
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","56/2489","195/18860",0.287179487179487,2.17605670076542,6.43673668896142,7.71587948066229e-09,5.34601603595253e-07,4.66202573820039e-07,"60/8438/5888/4171/4172/10213/4173/9401/4176/10635/80010/8914/1111/2237/79677/8317/63979/142/10097/5347/641/4175/29128/86/10459/25788/6119/7516/3070/6421/5885/6502/64710/10721/286053/55159/5591/9643/25842/1387/6944/8089/27336/51659/708/2521/84515/151987/348654/7528/5965/64110/4174/55183/80198/25939",56
"GO:0051225","GO:0051225","spindle assembly","44/2489","137/18860",0.321167883211679,2.43359834366101,6.56650425148306,7.78245510610129e-09,5.34601603595253e-07,4.66202573820039e-07,"22974/29127/203068/3192/259266/3832/56992/9055/55143/29901/332/1642/10615/9133/5347/22919/6790/79643/3796/29128/4751/9493/3833/11200/144165/10286/10403/26271/23332/1104/3837/1778/24137/128866/7175/26054/25978/140609/7756/57132/9126/991/3619/5728",44
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","82/2489","332/18860",0.246987951807229,1.87151176017852,6.24686609911965,8.51377689365863e-09,5.78267205867038e-07,5.04281427361826e-07,"26289/6241/5166/8833/2987/5230/23498/5160/54539/4700/4694/197322/5471/4712/4718/3251/5631/142/4706/4702/64834/10606/527/51144/4830/4708/4709/4704/2618/47/7298/6240/4710/7083/4725/353/4719/2023/113/4715/1738/3418/4722/32/8050/9519/4707/126328/6391/4729/5163/79717/7415/6675/9497/471/4720/4728/51422/10165/51079/4695/4726/64841/1633/8382/109/56848/7372/80146/84869/221823/7371/55907/4522/79877/55967/55312/5604/2673/51727/4833",82
"GO:0045787","GO:0045787","positive regulation of cell cycle","85/2489","349/18860",0.243553008595989,1.84548402656502,6.21637713586439,9.22324090317465e-09,6.17419315177398e-07,5.3842426196655e-07,"1908/51203/8626/11065/898/891/29127/699/6241/10051/3297/64151/3192/5902/8556/4085/81610/2146/1894/10635/55143/332/1111/58525/2237/11113/990/79677/51514/10615/8317/54892/51433/9928/5781/51529/6790/811/1019/9493/6240/11200/993/79733/382/55968/6421/7027/5885/5292/5716/1981/23636/23397/10403/26271/5641/9787/51143/9134/286053/10733/64848/55920/9918/8451/51692/1778/440/5514/10361/7175/6777/348654/23310/991/10592/301/144455/998/3619/150465/5962/4488/2342",85
"GO:0051784","GO:0051784","negative regulation of nuclear division","27/2489","64/18860",0.421875,3.19669043792688,6.86373176147974,9.30499472587458e-09,6.17419315177398e-07,5.3842426196655e-07,"891/7272/701/699/1063/11130/4085/55143/332/1111/9319/57405/83540/5347/147841/10459/5885/10403/26271/51143/5810/55055/7175/348654/7756/991/3619",27
"GO:0000725","GO:0000725","recombinational repair","57/2489","201/18860",0.283582089552239,2.14879799475903,6.3845705380198,9.39662150476767e-09,6.17419315177398e-07,5.3842426196655e-07,"60/8438/5888/4171/4172/10213/4173/2547/9401/4176/10635/80010/8914/1111/2237/79677/8317/63979/142/10097/5347/641/4175/29128/86/10459/25788/6119/7516/3070/6421/5885/6502/64710/10721/286053/55159/5591/9643/25842/1387/6944/8089/27336/51659/708/2521/84515/151987/348654/7528/5965/64110/4174/55183/80198/25939",57
"GO:0031577","GO:0031577","spindle checkpoint signaling","23/2489","49/18860",0.469387755102041,3.55671075179771,6.98727554979665,9.76009285922236e-09,6.34406035849453e-07,5.53237634849865e-07,"891/7272/701/699/1063/11130/4085/55143/332/9319/57405/83540/5347/147841/10459/10403/51143/55055/7175/348654/7756/991/3619",23
"GO:0050657","GO:0050657","nucleic acid transport","50/2489","167/18860",0.29940119760479,2.2686647596731,6.42095732206627,1.07758040584838e-08,6.85681426668784e-07,5.97952650691267e-07,"3800/3297/29107/9775/11260/87178/3181/4686/56943/1660/8570/29074/55746/9793/5901/7884/9631/23636/9972/9688/6396/10762/6741/79902/9887/4904/57122/7514/23381/8087/22916/11052/23165/3837/80145/54888/23511/84321/7048/91746/7175/129401/54847/3267/4116/55110/81929/84248/57510/1069",50
"GO:0050658","GO:0050658","RNA transport","50/2489","167/18860",0.29940119760479,2.2686647596731,6.42095732206627,1.07758040584838e-08,6.85681426668784e-07,5.97952650691267e-07,"3800/3297/29107/9775/11260/87178/3181/4686/56943/1660/8570/29074/55746/9793/5901/7884/9631/23636/9972/9688/6396/10762/6741/79902/9887/4904/57122/7514/23381/8087/22916/11052/23165/3837/80145/54888/23511/84321/7048/91746/7175/129401/54847/3267/4116/55110/81929/84248/57510/1069",50
"GO:0044786","GO:0044786","cell cycle DNA replication","22/2489","46/18860",0.478260869565217,3.62394535958216,6.94748003563676,1.32392786267895e-08,8.33660826030653e-07,7.26998984243003e-07,"5888/9837/4171/4172/4173/58525/2237/8317/5111/641/4175/54962/29980/7083/79733/1602/26271/5422/1763/10269/144455/81620",22
"GO:0009408","GO:0009408","response to heat","36/2489","103/18860",0.349514563106796,2.64839078352518,6.54080610422513,1.47968469110877e-08,9.22133397706442e-07,8.04152027463125e-07,"2246/3297/6647/4137/3066/3320/2932/55107/3162/11168/4842/545/5931/3301/27000/286133/1967/10016/1965/9261/170506/1387/7415/26973/1936/7341/844/3315/7175/3654/55466/5609/8891/10294/4277/7266",36
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","87/2489","364/18860",0.239010989010989,1.81106759853244,6.09260482121953,1.59683693742544e-08,9.8498768232008e-07,8.58964487929818e-07,"26289/8833/55669/2987/5230/3312/2773/54539/3939/2821/7167/3692/10380/4700/4694/4621/538/2597/5471/4712/4718/3251/63979/142/4706/525/4702/23788/10606/5223/527/4830/4708/4709/4704/2618/5901/4710/4725/353/4719/3099/2023/2819/113/4715/9414/4722/26137/4707/126328/6391/11164/4729/10059/7415/5143/8505/471/29789/4720/5515/6820/4728/51422/10165/51079/4695/4726/5744/8382/523/109/4976/56848/11165/3091/9567/1291/477/51715/4522/55967/3607/5604/4833/54541",87
