"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036260","GO:0036260","RNA capping","7/2489","16/18860",0.4375,3.31508638007232,3.61222519794105,0.00265821565296814,0.0406694294914518,0.0354660228798382,"6637/6635/6634/6636/4686/6633/6632",7
"GO:0046385","GO:0046385","deoxyribose phosphate biosynthetic process","7/2489","16/18860",0.4375,3.31508638007232,3.61222519794105,0.00265821565296814,0.0406694294914518,0.0354660228798382,"26289/6241/2987/7298/6240/9519/1633",7
"GO:1902412","GO:1902412","regulation of mitotic cytokinesis","7/2489","16/18860",0.4375,3.31508638007232,3.61222519794105,0.00265821565296814,0.0406694294914518,0.0354660228798382,"1894/55143/332/382/23636/3619/79998",7
"GO:2000765","GO:2000765","regulation of cytoplasmic translation","12/2489","38/18860",0.315789473684211,2.3928443044131,3.35116383600005,0.00266420084013481,0.0406694294914518,0.0354660228798382,"3192/1660/6451/26986/64506/4904/170506/4690/10492/51441/22849/3184",12
"GO:0016032","GO:0016032","viral process","72/2489","396/18860",0.181818181818182,1.37769823587421,2.96185523477931,0.00274877355508424,0.0418547509835875,0.0364996896827837,"6672/3838/6520/28985/50848/6732/3673/185/51160/7153/596/83737/79677/1642/6554/5034/1660/9080/79643/8815/5478/5901/2932/26986/1949/55254/9972/8468/11253/6741/3956/8673/5987/6772/4946/7113/7037/1460/10410/6541/6480/8577/81559/1104/7415/3383/2931/3839/1452/51193/6780/7251/8812/128866/5093/103/7913/6993/25978/3669/60559/57132/949/55207/4940/3916/9217/7852/253832/9235/4627/2589",72
"GO:0007143","GO:0007143","female meiotic nuclear division","13/2489","43/18860",0.302325581395349,2.29082381081409,3.30415321502065,0.00277503872713316,0.0419377727637999,0.036572089330218,"7272/3297/7153/9319/1642/9133/5347/6790/23397/10403/26271/84930/5728",13
"GO:0036297","GO:0036297","interstrand cross-link repair","13/2489","43/18860",0.302325581395349,2.29082381081409,3.30415321502065,0.00277503872713316,0.0419377727637999,0.036572089330218,"5888/2189/10635/55215/2175/545/2178/64710/2177/55159/7415/165918/84515",13
"GO:0090114","GO:0090114","COPII-coated vesicle budding","13/2489","43/18860",0.302325581395349,2.29082381081409,3.30415321502065,0.00277503872713316,0.0419377727637999,0.036572089330218,"25956/56681/6836/10959/5537/6396/9871/10016/126003/9217/10342/27141/10802",13
"GO:0021700","GO:0021700","developmental maturation","67/2489","364/18860",0.184065934065934,1.39473021955947,2.96514771779884,0.00278477931401779,0.0419800273148069,0.0366089376679383,"59277/1524/891/10159/10682/3202/2625/473/596/9319/28982/339829/30813/7534/5216/372/9928/525/5241/6790/527/117155/1811/3753/865/4342/7704/1258/1738/55027/1910/7422/26271/3398/2624/84966/55737/7494/2038/9296/81624/150726/8506/54888/9378/9389/51324/3050/23294/1649/51441/523/51124/6376/9334/10220/3091/991/51299/534/9114/253832/5728/10365/537/4488/4929",67
"GO:0007631","GO:0007631","feeding behavior","25/2489","107/18860",0.233644859813084,1.7704066115206,3.11609498595376,0.00281743571675191,0.0423666639496649,0.0369461064925204,"4915/3060/80010/51052/2693/5194/1602/4887/3953/256933/5697/2019/222236/2353/155/4985/10874/56729/1291/7371/79809/5457/5367/7200/2834",25
"GO:0072527","GO:0072527","pyrimidine-containing compound metabolic process","19/2489","74/18860",0.256756756756757,1.94553331957912,3.17767672291107,0.00284486652272848,0.0426729978409272,0.0372132468220563,"26289/79661/2079/5631/6996/4830/7298/6240/7083/79077/8930/9519/9497/1633/8382/7372/7371/51727/4833",19
"GO:0043200","GO:0043200","response to amino acid","29/2489","130/18860",0.223076923076923,1.69032975863028,3.07959465413994,0.00286241322441449,0.0427915101282733,0.0373165961816887,"3297/4915/1036/1072/1051/1788/3182/5243/2693/5111/445/9978/7846/9131/5156/8140/64506/1965/64121/7494/80310/836/22849/1282/1277/1291/1278/3184/598",29
"GO:0099111","GO:0099111","microtubule-based transport","46/2489","232/18860",0.198275862068966,1.50240367963869,3.00225698325001,0.00286692499618704,0.0427915101282733,0.0373165961816887,"667/3800/55614/8655/167691/5813/3192/5874/6647/56910/152110/339829/4137/79925/55605/79443/27152/63971/117178/5870/7846/51626/6421/127829/7275/3799/9001/81839/57576/6780/1778/24137/3315/8382/8100/1176/282991/4976/3091/1767/55207/23287/79809/998/3916/5604",46
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","18/2489","69/18860",0.260869565217391,1.976697468863,3.16915759086207,0.00300984363681567,0.0448140511934747,0.0390803653958332,"23560/3692/10969/23246/55759/2971/55003/23029/55794/51018/55027/117246/4931/51388/81887/22868/23212/51491",18
"GO:0071229","GO:0071229","cellular response to acid chemical","24/2489","102/18860",0.235294117647059,1.78290359936663,3.09135787156887,0.00306876305185526,0.0455790482763269,0.0397474857460006,"3297/4915/1051/1788/3182/5243/445/9978/5156/7422/8140/64506/64121/7494/80310/5311/22849/1282/1277/1291/1278/3184/10365/598",24
"GO:0001890","GO:0001890","placenta development","34/2489","160/18860",0.2125,1.61018481317798,3.02228041405117,0.00308197489070176,0.0456630838585592,0.0398207694856409,"8614/3297/4311/5310/841/1051/6647/10959/5243/2693/142/26528/79733/5764/9021/9191/2624/10733/7942/10038/79977/10653/653/899/5311/84870/150921/6768/3091/144455/7262/5467/1747/5604",34
"GO:0048524","GO:0048524","positive regulation of viral process","17/2489","64/18860",0.265625,2.01273101647248,3.16435758247207,0.0031637144209455,0.0467595444367129,0.0407769445891007,"3838/6732/7153/1642/5034/1660/5478/26986/55254/8468/3956/7113/81559/6780/7251/103/9217",17
"GO:0044706","GO:0044706","multi-multicellular organism process","45/2489","227/18860",0.198237885462555,1.50211591796858,2.96762964245992,0.00317319589335008,0.0467852906714665,0.0407993967494152,"8614/43847/10699/2099/3297/3673/2683/6647/10959/596/6833/64478/5243/2693/8528/142/26528/5241/811/6513/1394/7216/5764/2778/113/8620/7422/9191/3845/10038/92/150/2353/64750/708/150921/5744/6777/10661/2529/56848/29924/5467/5104/2834",45
"GO:1904951","GO:1904951","positive regulation of establishment of protein localization","62/2489","334/18860",0.18562874251497,1.40657215099732,2.92317089073395,0.00320352341914992,0.0470954406432667,0.0410698649151503,"8655/2737/10857/54972/7332/51160/59286/5587/1894/6950/23435/6833/2695/5174/10391/18/5478/3320/5901/2932/10075/64083/1128/10134/5116/5295/382/2151/6659/6844/11235/10541/11156/908/84876/3708/2810/27113/101/4946/10307/55737/10059/7545/8111/7494/6653/6721/27346/8398/2931/7251/51614/7175/10874/51100/27032/51124/3091/5467/10802/7200",62
"GO:0090169","GO:0090169","regulation of spindle assembly","11/2489","34/18860",0.323529411764706,2.45149244912911,3.30300618227053,0.00320981332423918,0.0470954406432667,0.0410698649151503,"3192/10615/5347/79643/1104/1778/128866/7175/26054/25978/57132",11
"GO:0007042","GO:0007042","lysosomal lumen acidification","9/2489","25/18860",0.36,2.72784250703094,3.37074206127115,0.00333869546996861,0.0487497925506286,0.0425125525390358,"10159/203547/533/252839/527/9296/523/3916/537",9
"GO:0046039","GO:0046039","GTP metabolic process","9/2489","25/18860",0.36,2.72784250703094,3.37074206127115,0.00333869546996861,0.0487497925506286,0.0425125525390358,"55669/2773/4830/5901/8382/4976/9567/51715/4833",9
"GO:0007565","GO:0007565","female pregnancy","40/2489","197/18860",0.203045685279188,1.53854625326054,2.96278111765048,0.00336465617200034,0.0490104736379327,0.0427398810637355,"8614/10699/2099/3297/3673/6647/10959/596/6833/64478/5243/2693/142/26528/5241/811/6513/1394/7216/5764/2778/113/8620/7422/9191/3845/10038/150/2353/64750/708/150921/5744/6777/10661/2529/56848/29924/5467/2834",40
